Highest Offense Description,Latitude,Longitude,year
FAILURE TO REG AS SEX OFFENDER,,,2022
BURGLARY OF VEHICLE,30.4648748,-97.80408774,2022
AGG ROBBERY/DEADLY WEAPON,30.37010787,-97.68942636,2022
CRASH/FAIL STOP AND RENDER AID,30.40530057,-97.72308559,2022
BURGLARY OF VEHICLE,30.40168382,-97.72673719,2022
BURGLARY OF RESIDENCE,30.24743072,-97.78789991,2022
AUTO THEFT,30.19029576,-97.73327898,2022
FRAUD - OTHER,30.42276953,-97.75321247,2022
AUTO THEFT,30.39438783,-97.67065387,2022
ASSAULT WITH INJURY,30.23364383,-97.73071195,2022
THEFT OF LICENSE PLATE,30.29425155,-97.74366947,2022
AUTO THEFT,30.36993463,-97.72800448,2022
INDECENT EXPOSURE,30.29352023,-97.71606172,2022
BURGLARY OF VEHICLE,30.24418174,-97.81009928,2022
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,30.19910744,-97.78621583,2022
AGG ASSAULT,30.38542825,-97.73645584,2022
AUTO THEFT,30.23607577,-97.7958549,2022
POSSESSION OF MARIJUANA,30.36078025,-97.69351335,2022
AGG ASSAULT,30.36912491,-97.69338009,2022
FORGERY AND PASSING,30.31895962,-97.73763604,2022
DOC DISPLAY GUN/DEADLY PUB PLC,30.16336208,-97.79162064,2022
BURGLARY NON RESIDENCE,30.30781681,-97.77451229,2022
THEFT,30.39233714,-97.73781482,2022
AUTO THEFT,30.36670481,-97.76258146,2022
THEFT,30.1793114,-97.75737993,2022
THEFT OF LICENSE PLATE,30.29948141,-97.70804903,2022
BURGLARY OF VEHICLE,30.21469515,-97.76509742,2022
POSS OF DRUG PARAPHERNALIA,30.37859305,-97.72450005,2022
FRAUD - OTHER,30.21431418,-97.74753209,2022
FRAUD - OTHER,30.35460161,-97.68584592,2022
THEFT-NO SUSPECT/FOLLOWUP,30.30179097,-97.64892252,2022
CRED CARD ABUSE - OTHER,30.4321554,-97.73964981,2022
CRED CARD ABUSE - OTHER,30.2310247,-97.7973052,2022
AUTO THEFT,30.22563082,-97.70573006,2022
CRIMINAL MISCHIEF,30.29127432,-97.74564458,2022
CRED CARD ABUSE - OTHER,30.29563262,-97.73634907,2022
CRIMINAL TRESPASS/TRANSIENT,30.28195115,-97.74362553,2022
DISTURBANCE - OTHER,30.20891585,-97.80137514,2022
AUTO THEFT,30.26962758,-97.74842696,2022
THEFT CATALYTIC CONVERTER,30.30738273,-97.70923515,2022
THEFT FROM PERSON,30.25797459,-97.74625508,2022
FRAUD - OTHER,30.41901074,-97.73295519,2022
BURGLARY OF VEHICLE,30.35013089,-97.79695493,2022
BURGLARY OF VEHICLE,30.26344718,-97.73711659,2022
BURGLARY OF VEH-NO SUSPECT/FU,30.1762717,-97.6302345,2022
THEFT BY SHOPLIFTING,30.23412103,-97.82030448,2022
AUTO THEFT,30.15135705,-97.76407136,2022
BURGLARY OF VEHICLE,30.34358238,-97.77135976,2022
MAIL THEFT,30.23084128,-97.84559157,2022
FAMILY DISTURBANCE,30.31025853,-97.65426928,2022
BURGLARY OF VEHICLE,30.26697836,-97.74145118,2022
THEFT BY SHOPLIFTING,30.47734224,-97.80298245,2022
POSSESSION OF MARIJUANA,30.37102725,-97.70190175,2022
FAMILY DISTURBANCE,30.22457271,-97.79551103,2022
DWI,30.23895916,-97.76980213,2022
CRIMINAL TRESPASS,30.23597678,-97.71859048,2022
INJURY TO CHILD,30.2200027,-97.75439457,2022
POSS CONTROLLED SUB/NARCOTIC,30.21494929,-97.7537948,2022
ASSAULT BY THREAT,30.27379969,-97.76304971,2022
THEFT CATALYTIC CONVERTER,30.31008275,-97.70838826,2022
DISTURBANCE - OTHER,30.30552185,-97.66162478,2022
FAMILY DISTURBANCE,30.17641811,-97.84285539,2022
FAMILY DISTURBANCE,30.31941418,-97.69149066,2022
DISTURBANCE - OTHER,30.21069808,-97.66550459,2022
THEFT CATALYTIC CONVERTER,30.42818778,-97.83863174,2022
AUTO THEFT,30.28570802,-97.69735071,2022
AGG ASSAULT,30.21830118,-97.68796351,2022
AUTO THEFT,30.26908233,-97.73140739,2022
DATING DISTURBANCE,30.18572431,-97.76637715,2022
ASSAULT WITH INJURY,30.33833356,-97.6770905,2022
DEADLY CONDUCT,30.29222184,-97.65192067,2022
ASSAULT BY CONTACT,30.41248349,-97.70685965,2022
ASSAULT BY THREAT,30.29007086,-97.71604117,2022
THEFT CATALYTIC CONVERTER,30.29563687,-97.68907347,2022
AGG ASSAULT,30.24032497,-97.74118459,2022
BURGLARY OF VEHICLE,30.39703797,-97.75023971,2022
DWI,30.35334622,-97.67475205,2022
MAIL THEFT,30.29948141,-97.70804903,2022
CHILD CUSTODY INTERFERE,30.4368002,-97.73038347,2022
THEFT,30.24682907,-97.76382462,2022
CRIMINAL MISCHIEF,30.38564046,-97.67378233,2022
BURGLARY OF VEH-NO SUSPECT/FU,30.34358238,-97.77135976,2022
FRAUD - OTHER,30.16548757,-97.78952006,2022
AUTO THEFT,30.2711754,-97.73181677,2022
ASSAULT BY CONTACT,30.30698583,-97.73552369,2022
FAMILY DISTURBANCE,30.22886909,-97.73016283,2022
BURGLARY OF RESIDENCE,30.32719557,-97.73743349,2022
FAMILY DISTURBANCE,30.4368002,-97.73038347,2022
BURGLARY OF VEHICLE,30.39785078,-97.66153467,2022
VIOL OF PROTECTIVE ORDER,30.14270218,-97.76970935,2022
POSSESSION OF MARIJUANA,30.2200027,-97.75439457,2022
FAMILY DISTURBANCE,30.4136948,-97.73013154,2022
FAMILY DISTURBANCE,30.40057166,-97.65286696,2022
DISTURBANCE - OTHER,30.32585362,-97.72687086,2022
THEFT CATALYTIC CONVERTER,30.33306439,-97.61310136,2022
MAIL THEFT,30.38938862,-97.7662405,2022
FAMILY DISTURBANCE,30.35701562,-97.75177774,2022
THEFT CATALYTIC CONVERTER,30.23777808,-97.68857347,2022
CRIMINAL MISCHIEF,30.31527498,-97.71401342,2022
FAMILY DISTURBANCE,30.20986506,-97.85126474,2022
AUTO THEFT,30.26969347,-97.75921417,2022
FAMILY DISTURBANCE,30.20939241,-97.80684396,2022
CRED CARD ABUSE - OTHER,30.31378731,-97.66653779,2022
CRIMINAL MISCHIEF,30.2195117,-97.75691905,2022
BURGLARY OF VEHICLE,30.32104847,-97.77354003,2022
BURGLARY OF VEHICLE,30.38998936,-97.71849699,2022
CRIMINAL MISCHIEF,30.39759159,-97.7051808,2022
CRASH/FAIL STOP AND RENDER AID,30.31457157,-97.7035681,2022
EVADING / VEHICLE PURSUIT,30.26805224,-97.73106444,2022
CRIMINAL TRESPASS/IN VEHICLE,30.27745594,-97.68569597,2022
FORCED SODOMY,,,2022
THEFT CATALYTIC CONVERTER,30.29786947,-97.69838778,2022
DISTURBANCE - OTHER,30.31211107,-97.73003163,2022
MAIL THEFT,30.41571072,-97.72646896,2022
RECKLESS DAMAGE,30.41861683,-97.70538187,2022
POSS OF DRUG PARAPHERNALIA,30.26813608,-97.74171477,2022
DWI,30.24847361,-97.77081986,2022
DWI,30.19307873,-97.81191827,2022
BURGLARY OF VEHICLE,30.36480746,-97.76081782,2022
BURGLARY OF VEH-NO SUSPECT/FU,30.23581695,-97.72262067,2022
CRIMINAL TRESPASS,30.3230732,-97.70063208,2022
THEFT OF TRAILER,30.29715473,-97.71747184,2022
VIOL STATE LAW - OTHER,30.39818639,-97.70508209,2022
ASSAULT BY CONTACT,30.41633919,-97.74856421,2022
AGG KIDNAPPING,30.23292136,-97.73739558,2022
PROTECTIVE ORDER,30.19414797,-97.74653625,2022
DWI,30.23367582,-97.73947528,2022
FAMILY DISTURBANCE,30.26889289,-97.71939732,2022
AUTO THEFT,30.22563082,-97.70573006,2022
DWI  .15 BAC OR ABOVE,30.38499151,-97.73512569,2022
THEFT BY SHOPLIFTING,30.44268296,-97.6642088,2022
PROWLER,30.26770056,-97.71165403,2022
AGG ASSAULT,30.36062541,-97.74502084,2022
FAMILY DISTURBANCE,30.43889604,-97.65696225,2022
FAMILY DISTURBANCE,30.3855781,-97.79951528,2022
POSS CONTROLLED SUB/NARCOTIC,30.22041957,-97.75624878,2022
EVADING VEHICLE,30.362954,-97.71233478,2022
BURGLARY OF VEHICLE,30.41441318,-97.67315985,2022
THEFT BY SHOPLIFTING,30.39160411,-97.7324475,2022
VIOL CITY ORDINANCE - DOG,30.32724299,-97.69315323,2022
POSSESSION OF MARIJUANA,30.35227309,-97.67791491,2022
HARASSMENT,30.35019863,-97.68786317,2022
DATING DISTURBANCE,30.23862901,-97.77034621,2022
DAMAGE CITY PROP,30.25893229,-97.69997951,2022
DWI - DRUG RECOGNITION EXPERT,30.16548757,-97.78952006,2022
DISTURBANCE - OTHER,30.33609033,-97.70047978,2022
BURGLARY OF VEHICLE,30.27379969,-97.76304971,2022
THEFT,30.23256094,-97.73196691,2022
FAMILY DISTURBANCE,30.19139265,-97.7655522,2022
THEFT,30.44050762,-97.79673474,2022
ASSAULT BY CONTACT,30.31491294,-97.66353312,2022
THEFT CATALYTIC CONVERTER,30.32787235,-97.70826571,2022
POSS CONTROLLED SUB/NARCOTIC,30.26811159,-97.75017222,2022
THEFT,30.40949012,-97.69956669,2022
DISTURBANCE - OTHER,30.29028044,-97.67265749,2022
FORGERY AND PASSING,30.41746076,-97.65742412,2022
FAMILY DISTURBANCE,30.24200034,-97.7568829,2022
CRED CARD ABUSE - OTHER,30.39353613,-97.72559956,2022
ASSAULT BY THREAT,30.32066653,-97.68766788,2022
BURGLARY OF VEHICLE,30.39495992,-97.6528231,2022
DISTURBANCE - OTHER,30.36339379,-97.72324606,2022
BURGLARY OF VEHICLE,30.25989114,-97.90211725,2022
AUTO THEFT,30.39665922,-97.66375058,2022
AUTO THEFT,30.39785078,-97.66153467,2022
AUTO THEFT,30.25571158,-97.7625396,2022
AUTO THEFT,30.21463049,-97.75080439,2022
THEFT BY SHOPLIFTING,30.25788603,-97.80700704,2022
THEFT,30.21223442,-97.76952969,2022
CRIMINAL MISCHIEF,30.19864021,-97.79343129,2022
FORGERY AND PASSING,30.22138307,-97.83965017,2022
IDENTITY THEFT,30.37523681,-97.69300659,2022
BURGLARY NON RESIDENCE,30.32154369,-97.69526526,2022
CRIMINAL TRESPASS,30.23893576,-97.72207706,2022
DATING DISTURBANCE,30.45803812,-97.78964121,2022
BURGLARY NON RESIDENCE,30.28806723,-97.74440902,2022
BURGLARY OF RESIDENCE,30.25952831,-97.74869734,2022
BURGLARY OF RESIDENCE,30.25952831,-97.74869734,2022
CRIMINAL MISCHIEF,30.20264034,-97.77030358,2022
BURGLARY NON RESIDENCE,30.22362187,-97.83951319,2022
THEFT OF LICENSE PLATE,30.39968443,-97.67858577,2022
AUTO THEFT,30.22484581,-97.72059573,2022
AGG ASSAULT,30.18854871,-97.7645862,2022
THEFT CATALYTIC CONVERTER,30.2855011,-97.70629328,2022
THEFT,30.19054005,-97.80340483,2022
HARASSMENT,30.29013023,-97.77207182,2022
BURGLARY OF VEHICLE,30.21143155,-97.6638788,2022
THEFT,30.20200809,-97.6668813,2022
BURGLARY OF VEHICLE,30.30212809,-97.70822426,2022
BURGLARY NON RESIDENCE,30.27523779,-97.75085927,2022
BURGLARY OF VEH-NO SUSPECT/FU,30.43529881,-97.73039863,2022
BURGLARY OF VEHICLE,30.34358238,-97.77135976,2022
THEFT CATALYTIC CONVERTER,30.33802276,-97.69507465,2022
THEFT OF BICYCLE,30.21827283,-97.70716532,2022
THEFT,30.25306463,-97.72276893,2022
FORGERY AND PASSING,30.20958503,-97.74692086,2022
BURGLARY OF VEH-NO SUSPECT/FU,30.40056581,-97.7512906,2022
AGG ASSAULT,30.46218137,-97.79721184,2022
AGG ASSAULT,30.23783528,-97.71317116,2022
AUTO THEFT,30.20809475,-97.75526029,2022
BURGLARY OF RESIDENCE,30.38984169,-97.69248927,2022
BURGLARY OF VEH-NO SUSPECT/FU,30.25631088,-97.72767416,2022
CRIMINAL MISCHIEF,30.22641763,-97.70574032,2022
THEFT,30.43642703,-97.73341209,2022
CRIMINAL MISCHIEF,30.17938079,-97.77579237,2022
ASSAULT BY CONTACT,30.24674661,-97.8873223,2022
DEADLY CONDUCT,30.32771765,-97.70018512,2022
THEFT,30.26084978,-97.72514692,2022
BURGLARY OF VEHICLE,30.40526665,-97.67189551,2022
AUTO THEFT,30.22823527,-97.7329449,2022
THEFT OF AUTO PARTS,30.29986863,-97.70708128,2022
AUTO THEFT,30.37594023,-97.79975583,2022
THEFT,30.1748642,-97.79691143,2022
AUTO THEFT,30.32366163,-97.70961354,2022
BURGLARY OF VEHICLE,30.34358238,-97.77135976,2022
FORGERY AND PASSING,30.23766349,-97.85205165,2022
BURGLARY NON RESIDENCE,30.32230599,-97.71379719,2022
DATING DISTURBANCE,30.38979111,-97.65120601,2022
BURGLARY OF VEHICLE,30.34358238,-97.77135976,2022
ASSAULT BY THREAT,30.41248349,-97.70685965,2022
CRIMINAL TRESPASS,30.26878795,-97.73370619,2022
VIOL OF PROTECTIVE ORDER,30.15594157,-97.83378104,2022
THEFT CATALYTIC CONVERTER,30.21833487,-97.66215838,2022
THEFT,30.37535079,-97.70699866,2022
FAMILY DISTURBANCE,30.24347409,-97.72722227,2022
POSSESSION OF MARIJUANA,30.24784333,-97.73488779,2022
CRED CARD ABUSE - OTHER,30.24014835,-97.76340371,2022
AUTO THEFT,30.40934374,-97.69873297,2022
AUTO THEFT,30.31567302,-97.72314519,2022
CRIMINAL TRESPASS,30.23320188,-97.78326102,2022
BURGLARY NON RESIDENCE,30.40020508,-97.71840394,2022
BURGLARY NON RESIDENCE,30.26883286,-97.72873986,2022
THEFT,30.14270218,-97.76970935,2022
BURGLARY OF RESIDENCE,30.46721421,-97.78691606,2022
VIOL OF BOND CONDITIONS,30.24369822,-97.72850549,2022
BURGLARY OF VEHICLE,30.29923283,-97.72213499,2022
THEFT,30.38480118,-97.64920025,2022
MAIL THEFT,30.36122054,-97.7047732,2022
CRED CARD ABUSE - OTHER,30.40548616,-97.74514591,2022
AUTO THEFT,30.22817167,-97.7372667,2022
BURGLARY OF VEHICLE,30.32535265,-97.70757653,2022
ASSAULT WITH INJURY,30.41253409,-97.69056972,2022
ASSAULT WITH INJURY,30.36122937,-97.69743068,2022
CRIMINAL MISCHIEF,30.23396557,-97.77673189,2022
DAMAGE CITY VEHICLE,30.38480118,-97.64920025,2022
IDENTITY THEFT,30.40797605,-97.74491406,2022
GRAFFITI,30.27804045,-97.74922522,2022
BURGLARY OF VEHICLE,30.38998936,-97.71849699,2022
IDENTITY THEFT,30.30173189,-97.74977313,2022
TERRORISTIC THREAT,30.45270355,-97.79163915,2022
THEFT CATALYTIC CONVERTER,30.21833487,-97.66215838,2022
THEFT FROM AUTO,30.33264945,-97.68498029,2022
MAIL THEFT,30.21133387,-97.71967552,2022
THEFT FROM BUILDING,30.19060651,-97.79467458,2022
CRASH/FAIL STOP AND RENDER AID,30.33750128,-97.70141789,2022
FAMILY DISTURBANCE,30.23886122,-97.72854726,2022
BURGLARY OF VEH-NO SUSPECT/FU,30.30918228,-97.69173274,2022
HARASSMENT,30.46721421,-97.78691606,2022
BURGLARY OF VEHICLE,30.16744175,-97.78890206,2022
CRIMINAL MISCHIEF,30.41564293,-97.69756753,2022
THEFT BY SHOPLIFTING,30.16962853,-97.78711941,2022
THEFT,30.38099721,-97.69613533,2022
ASSAULT BY CONTACT,30.30698583,-97.73552369,2022
BURGLARY OF VEHICLE,30.17057591,-97.78193501,2022
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,30.35138528,-97.70773047,2022
FAILURE TO IDENTIFY,30.26633899,-97.73378481,2022
CRIMINAL TRESPASS,30.27955834,-97.72086092,2022
FAMILY DISTURBANCE,30.3447253,-97.70042168,2022
THEFT,30.43815984,-97.77599358,2022
BURGLARY OF VEHICLE,30.14840317,-97.79327664,2022
FAMILY DISTURBANCE,30.27054719,-97.71973276,2022
BURGLARY OF VEHICLE,30.19394123,-97.76344868,2022
FAMILY DISTURBANCE,30.36275843,-97.70103948,2022
CRIMINAL MISCHIEF,30.2078411,-97.82994297,2022
DISTURBANCE - OTHER,30.2950468,-97.62941813,2022
DWI,30.23222159,-97.77327499,2022
DWI 2ND,30.17492365,-97.78053189,2022
FAMILY DISTURBANCE/PARENTAL,30.34887091,-97.6852326,2022
CRIMINAL MISCHIEF,30.30512785,-97.68052762,2022
CRIMINAL MISCHIEF,30.30512785,-97.68052762,2022
IDENTITY THEFT,,,2022
DWI,30.26536284,-97.75270763,2022
AUTO THEFT,30.22886909,-97.73016283,2022
FRAUD - OTHER,30.30705538,-97.66473633,2022
THEFT FROM PERSON,30.1921128,-97.773084,2022
FAMILY DISTURBANCE,30.16056461,-97.73232223,2022
DWI,30.30349856,-97.71606371,2022
ASSAULT WITH INJURY,30.2950468,-97.62941813,2022
THEFT CATALYTIC CONVERTER,30.21121408,-97.75227955,2022
FAMILY DISTURBANCE,30.20346379,-97.76322386,2022
CRIMINAL TRESPASS,30.2015646,-97.69553031,2022
POSSESSION OF MARIJUANA,30.41997724,-97.70358664,2022
THEFT BY SHOPLIFTING,30.17634917,-97.8227122,2022
DWI  .15 BAC OR ABOVE,30.39067265,-97.72206663,2022
ASSAULT BY CONTACT,30.37336749,-97.69011414,2022
DISTURBANCE - OTHER,30.47105795,-97.79644156,2022
VIOL OF EMERG PROTECTIVE ORDER,30.21494929,-97.7537948,2022
CRIMINAL TRESPASS,30.31852904,-97.70341904,2022
AUTO THEFT,30.40831599,-97.69824066,2022
FORGERY AND PASSING,30.36030464,-97.69887365,2022
DEADLY CONDUCT,30.362954,-97.71233478,2022
THEFT BY SHOPLIFTING,30.41564293,-97.69756753,2022
ASSAULT BY THREAT,30.18782842,-97.76131283,2022
THEFT-NO SUSPECT/FOLLOWUP,30.25628845,-97.6865964,2022
BURGLARY OF VEHICLE,30.25889704,-97.89207082,2022
ASSAULT BY CONTACT,30.30698583,-97.73552369,2022
FAMILY DISTURBANCE,30.46721421,-97.78691606,2022
FAMILY DISTURBANCE,30.17155194,-97.61179804,2022
FAMILY DISTURBANCE,30.39602299,-97.70513789,2022
THEFT CATALYTIC CONVERTER,30.38327081,-97.66232251,2022
POSS CONTROLLED SUB/NARCOTIC,30.35515159,-97.69077506,2022
FAMILY DISTURBANCE,30.28539673,-97.68372246,2022
PROTECTIVE ORDER,,,2022
IDENTITY THEFT,30.4621642,-97.79161499,2022
POSS CONTROLLED SUB/NARCOTIC,30.26274903,-97.70516659,2022
THEFT,30.19299708,-97.76505365,2022
FRAUD - OTHER,30.35519001,-97.74062845,2022
FAMILY DISTURBANCE/PARENTAL,30.36926216,-97.69510501,2022
BURGLARY OF VEHICLE,30.44766623,-97.66246765,2022
FAMILY DISTURBANCE,30.26153258,-97.7729065,2022
FAMILY DISTURBANCE,30.15957491,-97.77587971,2022
DISTURBANCE - OTHER,30.23275029,-97.72896864,2022
THEFT,30.3355469,-97.70804737,2022
DAMAGE CITY VEHICLE,30.41434665,-97.69618765,2022
UNLAWFUL CARRYING WEAPON,30.18975458,-97.78404996,2022
ASSAULT WITH INJURY,30.37479132,-97.70023522,2022
BURGLARY OF VEHICLE,30.22898359,-97.76732093,2022
DATING DISTURBANCE,30.26627247,-97.73701527,2022
AGG ASSAULT,30.20649169,-97.71784645,2022
AGG ASSAULT,30.47516088,-97.80967292,2022
THEFT,30.38595851,-97.69691964,2022
MAIL THEFT,30.39234792,-97.64905044,2022
DATING DISTURBANCE,30.29813309,-97.74847805,2022
THEFT,30.22983442,-97.73381719,2022
BURGLARY OF VEHICLE,30.43617647,-97.77666514,2022
NUISANCE ABATEMENT,30.29874464,-97.6428107,2022
FAMILY DISTURBANCE,30.19835661,-97.78925936,2022
POSS CONTROLLED SUB/NARCOTIC,30.35450866,-97.69147453,2022
BURGLARY OF VEHICLE,30.22536629,-97.76783826,2022
FAMILY DISTURBANCE,30.25849493,-97.80204559,2022
BURGLARY OF VEHICLE,30.40166252,-97.63942128,2022
THEFT BY SHOPLIFTING,30.40304955,-97.72478379,2022
POSS CONTROLLED SUB/NARCOTIC,30.22300204,-97.74696696,2022
BURGLARY OF VEHICLE,30.34358238,-97.77135976,2022
FAMILY DISTURBANCE,30.41136267,-97.73339631,2022
ROBBERY BY ASSAULT,30.25559345,-97.74737703,2022
ASSAULT BY CONTACT,30.46793555,-97.79250733,2022
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,30.38956251,-97.73879051,2022
FAMILY DISTURBANCE,30.32695651,-97.69433415,2022
FAMILY DISTURBANCE,30.38618261,-97.65621101,2022
THEFT,30.2720021,-97.68517062,2022
DWI,30.23845365,-97.76296734,2022
THEFT FROM AUTO,30.33351295,-97.69150727,2022
AGG ASSAULT,30.23895001,-97.72075262,2022
AGG ROBBERY/DEADLY WEAPON,30.24367258,-97.78286098,2022
TERRORISTIC THREAT,30.34949994,-97.69667299,2022
BURGLARY OF RESIDENCE,30.31073861,-97.6909135,2022
ASSAULT ON PEACE OFFICER,30.22421639,-97.76741274,2022
DISTURBANCE - OTHER,30.20200809,-97.6668813,2022
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,30.28196584,-97.71040462,2022
AUTO THEFT,30.26755343,-97.73467415,2022
FAMILY DISTURBANCE,30.3447253,-97.70042168,2022
AUTO THEFT,30.22758962,-97.72715997,2022
FRAUD - OTHER,30.33162207,-97.62396043,2022
CRIMINAL TRESPASS,30.31167944,-97.71262747,2022
DWI - DRUG RECOGNITION EXPERT,30.38021357,-97.69173466,2022
GRAFFITI,30.2673951,-97.75201327,2022
CRIMINAL MISCHIEF,30.30555773,-97.68109904,2022
AUTO THEFT,30.31849988,-97.68956602,2022
ARSON,30.3582867,-97.70038767,2022
FAMILY DISTURBANCE,30.17181308,-97.83053125,2022
FAMILY DISTURBANCE,30.43494008,-97.84006297,2022
POSS OF DRUG PARAPHERNALIA,30.31663094,-97.66269304,2022
THEFT OF SERVICE,30.17894323,-97.78432885,2022
MAIL THEFT,30.24850066,-97.73393875,2022
AUTO THEFT,30.41358272,-97.67568972,2022
BURGLARY OF RESIDENCE,30.40638791,-97.73261346,2022
THEFT,30.3346183,-97.68989163,2022
THEFT,30.20127169,-97.78592763,2022
FORGERY AND PASSING,30.27437488,-97.7637537,2022
BURGLARY OF VEHICLE,30.36840597,-97.72018915,2022
CRIMINAL TRESPASS,30.3522535,-97.69281751,2022
AUTO THEFT,30.21607317,-97.74556591,2022
THEFT,30.23504399,-97.75588703,2022
MURDER,30.26382262,-97.7544819,2022
DEADLY CONDUCT,30.35376105,-97.71308248,2022
THEFT,30.28303549,-97.73930876,2022
BURGLARY OF RESIDENCE,30.25586383,-97.71747849,2022
BURGLARY OF VEHICLE,30.39759159,-97.7051808,2022
FRAUD - OTHER,30.40732357,-97.64024043,2022
AGG ASSAULT,30.335879,-97.72067067,2022
TERRORISTIC THREAT,30.27331043,-97.75635464,2022
THEFT OF LICENSE PLATE,30.4053694,-97.71135296,2022
THEFT CATALYTIC CONVERTER,30.12799405,-97.80135873,2022
AUTO THEFT,30.30401453,-97.64111375,2022
BURGLARY OF VEHICLE,30.25854609,-97.74677202,2022
BURGLARY NON RESIDENCE,30.30693853,-97.68030667,2022
HARASSMENT,30.17296115,-97.62052677,2022
RAPE,,,2022
MAIL THEFT,30.18887772,-97.7800714,2022
THEFT,30.25595216,-97.76068619,2022
THEFT OF SERVICE,30.22195818,-97.78766228,2022
BURGLARY OF VEHICLE,30.25889704,-97.89207082,2022
BURGLARY OF VEHICLE,30.43809342,-97.7707327,2022
ASSAULT BY CONTACT,30.30698583,-97.73552369,2022
CRASH/FAIL STOP AND RENDER AID,30.47027103,-97.8015806,2022
AUTO THEFT,30.32538241,-97.7264207,2022
IDENTITY THEFT,30.20524252,-97.75566255,2022
BURGLARY OF VEHICLE,30.18802384,-97.76570505,2022
MAIL THEFT,30.37809378,-97.69270631,2022
FRAUD - OTHER,30.38165729,-97.75075006,2022
HARASSMENT,30.25958739,-97.74780866,2022
FORGERY AND PASSING,30.29849716,-97.73682665,2022
BURGLARY OF VEHICLE,30.39027593,-97.7426545,2022
CHILD CUSTODY INTERFERE,30.23178857,-97.71888757,2022
THEFT OF TRAILER,30.3140331,-97.67891016,2022
CRED CARD ABUSE - OTHER,30.41522742,-97.84737003,2022
CRIMINAL MISCHIEF,30.39837174,-97.72156621,2022
CRASH/FAIL STOP AND RENDER AID,30.22060804,-97.67438354,2022
FRAUD FILING FINANCE STATEMENT,30.35392562,-97.75485418,2022
BURGLARY OF VEHICLE,30.41441318,-97.67315985,2022
BURGLARY OF RESIDENCE,30.39837174,-97.72156621,2022
BURGLARY OF RESIDENCE,30.3312124,-97.70000414,2022
BURGLARY OF RESIDENCE,30.35768434,-97.68063297,2022
THEFT,30.33392412,-97.68490725,2022
ASSAULT BY THREAT,30.26953092,-97.74078379,2022
CRIMINAL MISCHIEF-NO SUSPECT,30.23509316,-97.71545645,2022
BURGLARY OF VEHICLE,30.27011636,-97.67062128,2022
FRAUD - OTHER,30.41432096,-97.67840164,2022
CRIMINAL MISCHIEF-NO SUSPECT,30.25257151,-97.74713799,2022
CRIMINAL MISCHIEF,30.27331043,-97.75635464,2022
BURGLARY OF RESIDENCE,30.23783528,-97.71317116,2022
FAMILY DISTURBANCE,30.41260065,-97.6958102,2022
BURGLARY OF VEHICLE,30.28478671,-97.7447125,2022
CRED CARD ABUSE - OTHER,30.42502978,-97.67210197,2022
AUTO THEFT,30.35391762,-97.68922001,2022
CRIMINAL TRESPASS,30.21529713,-97.74336678,2022
BURGLARY OF VEHICLE,30.26072685,-97.8103449,2022
MAIL THEFT,30.3967807,-97.72731711,2022
DATING DISTURBANCE,30.37664814,-97.73043691,2022
ASSAULT BY THREAT,30.2673951,-97.75201327,2022
AGG ASSAULT,30.37746116,-97.72943478,2022
AUTO THEFT,30.37699184,-97.71085251,2022
AUTO THEFT,30.31110222,-97.75331984,2022
AUTO THEFT,30.17286231,-97.7550765,2022
BURGLARY OF VEHICLE,30.39092459,-97.74236106,2022
BURGLARY OF RESIDENCE,30.37051904,-97.70756797,2022
THEFT OF BICYCLE,30.28196584,-97.71040462,2022
FAMILY DISTURBANCE,30.49737519,-97.77395123,2022
THEFT BY SHOPLIFTING,30.31467496,-97.70740425,2022
ASSAULT WITH INJURY,30.41901074,-97.73295519,2022
MAIL THEFT,30.29020675,-97.74780294,2022
IDENTITY THEFT,30.13766797,-97.79531169,2022
FAMILY DISTURBANCE,30.45475017,-97.80558843,2022
THEFT OF LICENSE PLATE,30.17026772,-97.80173567,2022
FAMILY DISTURBANCE,30.3855781,-97.79951528,2022
CRIMINAL MISCHIEF,30.44017263,-97.77403885,2022
THEFT,30.23637859,-97.87140901,2022
DISCLOSE/PROMO INTIMATE VISUAL,,,2022
FORGERY - OTHER,30.3885533,-97.74124779,2022
ONLINE SOLICITATION OF A MINOR,,,2022
INJURY TO ELDERLY PERSON,30.27146137,-97.81706377,2022
THEFT,30.23401114,-97.82283489,2022
AUTO THEFT,30.16744175,-97.78890206,2022
BURGLARY OF RESIDENCE,30.22545263,-97.69505526,2022
DISTURBANCE - OTHER,30.26896555,-97.74247514,2022
THEFT CATALYTIC CONVERTER,30.36311145,-97.74037744,2022
WARRANT ARREST NON TRAFFIC,30.31639292,-97.70614651,2022
THEFT OF BICYCLE,30.39003535,-97.75857435,2022
BURGLARY OF VEH-NO SUSPECT/FU,30.36949756,-97.62068235,2022
BURGLARY OF VEHICLE,30.3917099,-97.843979,2022
DWI,30.30944328,-97.74851745,2022
POSSESSION OF MARIJUANA,30.23778057,-97.75479405,2022
FRAUD - OTHER,30.36726312,-97.7155322,2022
BURGLARY OF VEHICLE,30.36090292,-97.77971976,2022
FRAUD - OTHER,30.24267237,-97.81697766,2022
